fault , spe , t2 , unified
0 , 0.94125 , 0.93125 , 0.9299999999999999
1 , 0.0024999999999999467 , 0.0050000000000000044 , 0.0024999999999999467
2 , 0.015000000000000013 , 0.012499999999999956 , 0.01375000000000004
3 , 0.94375 , 0.93625 , 0.93125
4 , 0.0 , 0.35624999999999996 , 0.0
5 , 0.63625 , 0.70375 , 0.6
6 , 0.0 , 0.010000000000000009 , 0.0
7 , 0.0 , 0.0 , 0.0
8 , 0.02375000000000005 , 0.02375000000000005 , 0.01749999999999996
9 , 0.94 , 0.935 , 0.92625
10 , 0.47750000000000004 , 0.5900000000000001 , 0.39
11 , 0.30374999999999996 , 0.385 , 0.17500000000000004
12 , 0.03500000000000003 , 0.011249999999999982 , 0.008750000000000036
13 , 0.04500000000000004 , 0.04749999999999999 , 0.04500000000000004
14 , 0.0012499999999999734 , 0.0012499999999999734 , 0.0
15 , 0.94125 , 0.925 , 0.915
16 , 0.51125 , 0.76125 , 0.4675
17 , 0.036250000000000004 , 0.1725 , 0.040000000000000036
18 , 0.09499999999999997 , 0.09999999999999998 , 0.09375
19 , 0.7462500000000001 , 0.78625 , 0.6675
20 , 0.39749999999999996 , 0.6275 , 0.36
21 , 0.51875 , 0.5587500000000001 , 0.48624999999999996
